абаканский: абаканский
обтиравший: обтиравший
обтиснуть: обтиснуть
обтыкаться: обтыкаться
обтянутый: обтянутый
обуздывавший: обуздывавший
обучать: обучать
обучиться: обучиться
обуявший: обуявший
обхаиваемый: обхаиваемый
обхаянный: обхаянный
обхвативший: обхвативший
обхлестать: обхлестать
обхохотавшийся: обхохотавшийся
обцарапать: обцарапать
обчекрыжить: обчекрыжить
обчинивать: обчинивать
обчинить: обчинить
обшарпывавшийся: обшарпывавшийся
обшарпывающий: обшарпывающий
обшастать: обшастать
обшелушивший: обшелушивший
обшелушить: обшелушить
обшивальщица: обшивальщица
обшикать: обшикать
обшнырить: обшнырить
общегеографический: общегеографический
общежитие: общежитие
общеизвестность: общеизвестность
общелитературный: общелитературный
общеполезность: общеполезность
общераспространенность: общераспространенность
общественность: общественность
общинка: общинка
объедавшийся: объедавшийся
объединитель: объединитель
объемлющий: объемлющий
объявление: объявление
объяснительный: объяснительный
обывательщина: обывательщина
обыденность: обыденность
обысканный: обысканный
обюрокративший: обюрокративший
обюрократить: обюрократить
оверлей: оверлей
овеществленный: овеществленный
овиваемый: овиваемый
овладение: овладение
овощевод: овощевод
овощеконсервный: овощеконсервный
овца: овца
овцебык: овцебык
огладывать: огладывать
огласивший: огласивший
огласовка: огласовка
оглашающий: оглашающий
оглоушиваемый: оглоушиваемый
оглохнуть: оглохнуть
оглохший: оглохший
оглупляемый: оглупляемый
оглупляющий: оглупляющий
оглыев: оглыев
огнепоклонничество: огнепоклонничество
огородившийся: огородившийся
ограждающийся: ограждающийся
огребающий: огребающий
огрубляемый: огрубляемый
огрублять: огрублять
огрызавшийся: огрызавшийся
огрызший: огрызший
одалживать: одалживать
одалживающий: одалживающий
одаривающий: одаривающий
одежный: одежный
одеколон: одеколон
одеколончик: одеколончик
одергиваться: одергиваться
один: один
одноатомный: одноатомный
однодворка: однодворка
однозернянка: однозернянка
однокаскадный: однокаскадный
одноклубница: одноклубница
однополость: однополость
одностаничник: одностаничник
одношерстный: одношерстный
одноякорный: одноякорный
одолжаться: одолжаться
одомашниваемый: одомашниваемый
одряхлеть: одряхлеть
одурманиваться: одурманиваться
одухотворенный: одухотворенный
одухотворявший: одухотворявший
одухотворяться: одухотворяться
оживающий: оживающий
оживлявший: оживлявший
ожидальщик: ожидальщик
озадачивать: озадачивать
озвучить: озвучить
оздоровление: оздоровление
оздоровляемый: оздоровляемый
оздоровляющийся: оздоровляющийся
озеленять: озеленять
озирающий: озирающий
озлобленный: озлобленный
означить: означить
озноб: озноб
ознобить: ознобить
озокерит: озокерит
озонометрический: озонометрический
ойкосный: ойкосный
оказавший: оказавший
оказенивать: оказенивать
окаймляющийся: окаймляющийся
окаменевавший: окаменевавший
окапывающий: окапывающий
окатывающий: окатывающий
окающий: окающий
океания: океания
окинувший: окинувший
окисляться: окисляться
окклюдированный: окклюдированный
окклюзия: окклюзия
оккупированный: оккупированный
окленд: окленд
оклик: оклик
околдовывающий: околдовывающий
околозвуковой: околозвуковой
околопланетный: околопланетный
околоплодный: околоплодный
околосуставный: околосуставный
околоцветник: околоцветник
околпаченный: околпаченный
окольцовывавший: окольцовывавший
окольцовываться: окольцовываться
окорачиваемый: окорачиваемый
окорачивать: окорачивать
окорачивающий: окорачивающий
окоренный: окоренный
окорявший: окорявший
окосье: окосье
окошко: окошко
окрикивавший: окрикивавший
окрикивать: окрикивать
окровавливавшийся: окровавливавшийся
окровененный: окровененный
округленный: округленный
округлеть: округлеть
окрылявшийся: окрылявшийся
оксалат: оксалат
оксидировать: оксидировать
оксидироваться: оксидироваться
окский: окский
октроировавший: октроировавший
октроированный: октроированный
октябрьский: октябрьский
окуклиться: окуклиться
окулачившийся: окулачившийся
окультуривающийся: окультуривающийся
окультурить: окультурить
окультуриться: окультуриться
окуляр: окуляр
окупить: окупить
окупиться: окупиться
окупленный: окупленный
окурить: окурить укорить
окучивающий: окучивающий
олеандомицин: олеандомицин
оленька: оленька
олимпиец: олимпиец
олифа: олифа
олицетворяющий: олицетворяющий
ольгин: ольгин
омела: омела
омерзение: омерзение
омертвлявший: омертвлявший
омертвляемый: омертвляемый
омертвлять: омертвлять
омолаживающийся: омолаживающийся
омолодиться: омолодиться
омуток: омуток
онемеченный: онемеченный
онемечивший: онемечивший
ониевый: ониевый
опаздывавший: опаздывавший
опаливающийся: опаливающийся
опалубка: опалубка
опасный: опасный
опекающий: опекающий
опережавший: опережавший
оперон: оперон
оперуполномоченный: оперуполномоченный
опершийся: опершийся
опечаливавший: опечаливавший
опечатавший: опечатавший
опечатка: опечатка
опечатывавший: опечатывавший
опечатывающий: опечатывающий
опешивший: опешивший
опилка: опилка
описавшийся: описавшийся
описать: описать
описной: описной
описывать: описывать
оплавившийся: оплавившийся
оплаченный: оплаченный
оплачиваемый: оплачиваемый
оплеснутый: оплеснутый
оплодотворенный: оплодотворенный
оплодотворить: оплодотворить
оплодотвориться: оплодотвориться
оплываемый: оплываемый
оплыть: оплыть
оподлевший: оподлевший
оподлеть: оподлеть
оподлившийся: оподлившийся
опознавание: опознавание
ополовинивший: ополовинивший
ополчающийся: ополчающийся
ополченец: ополченец
опостыть: опостыть
опохмеляющийся: опохмеляющийся
опошлявшийся: опошлявшийся
опоясывавший: опоясывавший
оппозиция: оппозиция
оппортунистка: оппортунистка
оправдаться: оправдаться
оправдывать: оправдывать
опрашивание: опрашивание
опричник: опричник
опровергнувший: опровергнувший
опрокинуть: опрокинуть
опрощавший: опрощавший
опрощение: опрощение
опрыскавшийся: опрыскавшийся
опрыскиватель: опрыскиватель
опрыскиваться: опрыскиваться
опрыснуть: опрыснуть
оптимизационный: оптимизационный
оптовик: оптовик
опустивший: опустивший
опционный: опционный
опытничество: опытничество
орденоносный: орденоносный
орегон: орегон
ориенталист: ориенталист
ориентироваться: ориентироваться
орион: орион
орлик: орлик
орнитин: орнитин
орогенез: орогенез
оросивший: оросивший
орошенный: орошенный
орунья: орунья
орущий: орущий
осадки: осадки
осадконакопление: осадконакопление
осведомленность: осведомленность
освежительный: освежительный
осветляющий: осветляющий
освинцовывающий: освинцовывающий
освобождавший: освобождавший
освобождать: освобождать
освоенный: освоенный
оседавший: оседавший
осеменение: осеменение
осененность: осененность
осеняемый: осеняемый
осеняться: осеняться
осиливший: осиливший
осквернявший: осквернявший
оскорбительный: оскорбительный
оскорблявший: оскорблявший
оскорблявшийся: оскорблявшийся
оскоромившийся: оскоромившийся
оскоромить: оскоромить
оскребки: оскребки
оскребывать: оскребывать
ослабевший: ослабевший
ослабший: ослабший
ославившийся: ославившийся
ослепиться: ослепиться
ослизлый: ослизлый
ослушивавшийся: ослушивавшийся
осмаливаемый: осмаливаемый
османец: османец
осмиевый: осмиевый
осмотреть: осмотреть
осмысливание: осмысливание
осмысляемый: осмысляемый
оснащающийся: оснащающийся
оснащенность: оснащенность
особоровавший: особоровавший
особый: особый
осовременивать: осовременивать
осознанность: осознанность
осока: осока
оспоренный: оспоренный
оставшийся: оставшийся
останкино: останкино
остановиться: остановиться
остановка: остановка
остеобласты: остеобласты
остеосаркома: остеосаркома
остепенявший: остепенявший
остервененный: остервененный
остзейский: остзейский
остолбенение: остолбенение
осточертевший: осточертевший
острагиваемый: острагиваемый
островок: островок
остронос: остронос
остроумнейший: остроумнейший
остругать: остругать
остругиваться: остругиваться
остругивающий: остругивающий
остуда: остуда
осуждающий: осуждающий
осциллоскоп: осциллоскоп
осчастливливать: осчастливливать
отакелаживаемый: отакелаживаемый
отаптывающий: отаптывающий
отбавлять: отбавлять
отбеливание: отбеливание
отбив: отбив
отбивание: отбивание
отбивший: отбивший
отбившийся: отбившийся
отбирающийся: отбирающийся
отблагодаривший: отблагодаривший
отбойный: отбойный
отбомбить: отбомбить
отбранившийся: отбранившийся
отбранить: отбранить
отбраниться: отбраниться
отбуксировать: отбуксировать
отбучивающий: отбучивающий
отбыть: отбыть
отвадившийся: отвадившийся
отваривать: отваривать
отвевать: отвевать
отвергавший: отвергавший
отверженец: отверженец
отверзаться: отверзаться
отверзающий: отверзающий
отвертывание: отвертывание
отвертывать: отвертывать
отверчивавший: отверчивавший
отвесить: отвесить
отвесность: отвесность
отвильнувший: отвильнувший
отвинтившийся: отвинтившийся
отвинчивать: отвинчивать
отводной: отводной
отвозящий: отвозящий
отволочившийся: отволочившийся
отвориться: отвориться
отворковать: отворковать
отворочать: отворочать
отворявшийся: отворявшийся
отворяемый: отворяемый
отвыкать: отвыкать
отвязывать: отвязывать
отгадывание: отгадывание
отгадывать: отгадывать
отгадывающийся: отгадывающийся
отглаженный: отглаженный
отглоданный: отглоданный
отглодать: отглодать
отглотнутый: отглотнутый
отгнивший: отгнивший
отгонявший: отгонявший
отгонять: отгонять
отграничивавший: отграничивавший
отграничивание: отграничивание
отграфлять: отграфлять
отгребать: отгребать
отгрузивший: отгрузивший
отгрызавший: отгрызавший
отгрызающий: отгрызающий
отдаленнейший: отдаленнейший
отделавший: отделавший
отделавшийся: отделавшийся
отделимый: отделимый
отделочный: отделочный
отдраить: отдраить
отдушина: отдушина
отдых: отдых
отдышка: отдышка
отельный: отельный
отеляться: отеляться
отеляющийся: отеляющийся
отечествоведение: отечествоведение
отжиливавший: отжиливавший
отжимной: отжимной
отжинающий: отжинающий
отзванивавший: отзванивавший
отзовизм: отзовизм
отзол: отзол
отзоливший: золотивший отзоливший
отиравшийся: отиравшийся
откалибровавший: откалибровавший
откалывавший: откалывавший
откалывавшийся: откалывавшийся
откапываемый: откапываемый
откапывание: откапывание
откатавший: откатавший
откачка: откачка
откашливаемый: откашливаемый
откашливающийся: откашливающийся
отквитанный: отквитанный
откидывать: откидывать
откипающий: откипающий
откланявшийся: откланявшийся
отклепывавший: отклепывавший
откликаться: откликаться
отключить: отключить
отколачиваться: отколачиваться
отколовший: отколовший
откомандировывавший: откомандировывавший
откомандировывающий: откомандировывающий
откомпилировать: откомпилировать
отконопатить: отконопатить
откопаться: откопаться
откормить: откормить
откристаллизовываться: откристаллизовываться
открылок: открылок
открытость: открытость
открыточка: открыточка
откупиться: откупиться
отлаживаться: отлаживаться
отлазать: отлазать
отламывающийся: отламывающийся
отлегший: отлегший
отлежавшийся: отлежавшийся
отлеплять: отлеплять
отливаться: отливаться
отлизать: отлизать
отлипнуть: отлипнуть
отличненький: отличненький
отлупить: отлупить
отлучавшийся: отлучавшийся
отляпать: отляпать
отмазывавший: отмазывавший
отмазываться: отмазываться
отмаливавший: отмаливавший
отманивший: отманивший
отмахиваемый: отмахиваемый
отметаемый: отметаемый
отметание: отметание
отминать: отминать
отмокавший: отмокавший
отмороженный: отмороженный
отмотанный: отмотанный
отмщающий: отмщающий
отмывающий: отмывающий
отмыкавший: отмыкавший
отмыканный: отмыканный
отмычка: отмычка
отмычный: отмычный
отнесение: отнесение
отнятие: отнятие
отобедать: отобедать
отодвигаться: отодвигаться
отодвинувший: отодвинувший
отождествивший: отождествивший
отождествляемый: отождествляемый
отолгаться: отолгаться
отопок: отопок
отоптанный: отоптанный
оторачивать: оторачивать
отосклероз: отосклероз
отосланный: отосланный
отошедший: отошедший
отпаивавшийся: отпаивавшийся
отпаснувший: отпаснувший
отпахать: отпахать
отпетый: отпетый
отпечатлевающийся: отпечатлевающийся
отпечаточек: отпечаточек
отпечатывающийся: отпечатывающийся
отпеченный: отпеченный
отписывавший: отписывавший
отписывающийся: отписывающийся
отплата: отплата
отплевывающийся: отплевывающийся
отплоенный: отплоенный
отпоить: отпоить
отполдничать: отполдничать
отполировавшийся: отполировавшийся
отполоскавший: отполоскавший
отполосканный: отполосканный
отпотчевавший: отпотчевавший
отправившийся: отправившийся
отправляемый: отправляемый
отпрессовать: отпрессовать
отпрессоваться: отпрессоваться
отпрукивавший: отпрукивавший
отпрягающий: отпрягающий
отпугивающийся: отпугивающийся
отпугнуть: отпугнуть
отпускаемый: отпускаемый
отпяливший: отпяливший
отработавшийся: отработавшийся
отравлять: отравлять
отрада: отрада
отреагировавший: отреагировавший
отрегулировавшийся: отрегулировавшийся
отрезаться: отрезаться
отрезывающий: отрезывающий
отрепетированный: отрепетированный
отретушировать: отретушировать
отринувший: отринувший
отрожек: отрожек
отроившийся: отроившийся
отросток: отросток
отрочество: отрочество
отрубающийся: отрубающийся
отруганный: отруганный
отругивающийся: отругивающийся
отрывочек: отрывочек
отряжаться: отряжаться
отрясаться: отрясаться
отсеваемый: отсеваемый
отседавший: отседавший
отсеивавший: отсеивавший
отсекание: отсекание
отсель: отсель
отсиживавший: отсиживавший
отсиживавшийся: отсиживавшийся
отскабливаемый: отскабливаемый
отслаивавшийся: отслаивавшийся
отслаивающий: отслаивающий
отслонить: отслонить
отсрочить: отсрочить
отстежной: отстежной
отстирываемый: отстирываемый
отстойник: отстойник
отстоявший: отстоявший
отстригание: отстригание
отстрогать: отстрогать
отстроившийся: отстроившийся
отстукивающий: отстукивающий
отступавший: отступавший
отступавшийся: отступавшийся
отступающий: отступающий
отступивший: отступивший
отсутствующий: отсутствующий
отсучивавший: отсучивавший
отсучившийся: отсучившийся
отсылавший: отсылавший
оттапливающий: оттапливающий
оттененный: оттененный
оттеняющий: оттеняющий
оттолкнувшийся: оттолкнувшийся
оттопыренный: оттопыренный
оттопыриваться: оттопыриваться
оттопыривающий: оттопыривающий
отторгавшийся: отторгавшийся
отточка: отточка
оттранслированный: оттранслированный
оттрепать: оттрепать
оттрепывать: оттрепывать
оттрудиться: оттрудиться
оттуживший: оттуживший
оттушевать: оттушевать
оттягавший: оттягавший
оттягиваемый: оттягиваемый
отуженный: отуженный
отуманивавшийся: отуманивавшийся
отупелость: отупелость
отупеть: отупеть
отутюживать: отутюживать
отучивание: отучивание
отфильтровывавшийся: отфильтровывавшийся
отформованный: отформованный
отфрезеровать: отфрезеровать
отфутболивавший: отфутболивавший
отхлебывавший: отхлебывавший
отхлебывающий: отхлебывающий
отхлопать: отхлопать
отходить: отходить
отхотевший: отхотевший
отцепленный: отцепленный
отцеплявшийся: отцеплявшийся
отчасти: отчасти
отчаявшийся: отчаявшийся
отчебучить: отчебучить
отчеканиваемый: отчеканиваемый
отчеканить: отчеканить
отчеркиваться: отчеркиваться
отчерпанный: отчерпанный
отчерпнуть: отчерпнуть
отчетность: отчетность
отчистка: отчистка
отчихвощенный: отчихвощенный
отчищавший: отчищавший
отчуждение: отчуждение
отшвартовавший: отшвартовавший
отшвартовывавшийся: отшвартовывавшийся
отшвыривающий: отшвыривающий
отшвырнувший: отшвырнувший
отшвырять: отшвырять
отшиваемый: отшиваемый
отшуметь: отшуметь
отщелкивающий: отщелкивающий
отщипавший: отщипавший
отъюливающий: отъюливающий
отъюлить: отъюлить
отъятый: отъятый
отэкзаменованный: отэкзаменованный
отягощенный: отягощенный
офелия: офелия
офицерство: офицерство
официальничавший: официальничавший
офлюсованный: офлюсованный
оформительство: оформительство
оформляемый: оформляемый
офранцуживаемый: офранцуживаемый
ох: ох
охальничающий: охальничающий
охватить: охватить
охватывание: охватывание
охладивший: охладивший
охлопавший: охлопавший
охлопать: охлопать
охранявшийся: охранявшийся
охраняющий: охраняющий
охрипнуть: охрипнуть
охуждающий: охуждающий
охулка: охулка
оценивающий: оценивающий
очарованный: очарованный
очаровательный: очаровательный
очароваться: очароваться
очеловечиваться: очеловечиваться
очеловечиться: очеловечиться
оченно: оченно
очерк: очерк
очеркист: очеркист
очерняться: очерняться
очерняющийся: очерняющийся
очерствить: очерствить
очертенеть: очертенеть
очес: очес
очи: очи
очистка: очистка
очищавшийся: очищавшийся
очищаемый: очищаемый
очищающий: очищающий
очищенный: очищенный
ошарашивать: ошарашивать
ошарашивающий: ошарашивающий
ошвартовать: ошвартовать
ошеломлявший: ошеломлявший
ошельмовавший: ошельмовавший
ошивающийся: ошивающийся
ошиновка: ошиновка
ошлифовываемый: ошлифовываемый
ощерившийся: ощерившийся
ощипывавший: ощипывавший
ощупавшийся: ощупавшийся
ощупывавший: ощупывавший
ощупываться: ощупываться
ояловевший: ояловевший
паганель: паганель
падишах: падишах
пазанченный: пазанченный
пазник: пазник
пазовальный: пазовальный
пазушина: пазушина
пакетбот: пакетбот
пакля: пакля
паладин: паладин
палатализация: палатализация
палатализуемый: палатализуемый
палатализующий: палатализующий
палатный: палатный
палачествующий: палачествующий
палевый: палевый
паленина: паленина
палеонтологический: палеонтологический
палингенез: палингенез
палинология: палинология
паломничавший: паломничавший
паломничать: паломничать
палтусовый: палтусовый
палубить: палубить
пальчатый: пальчатый
пампасовый: пампасовый
пангерманский: пангерманский
пандус: пандус
панегирик: панегирик
панегирист: панегирист
паниковавший: паниковавший
панируемый: панируемый
панлогизм: панлогизм
панталык: панталык
пантокриновый: пантокриновый
панцирнощекие: панцирнощекие
папаха: папаха
папенька: папенька
папертник: папертник
папушный: папушный
парадировать: парадировать
парализовавший: парализовавший
параметрит: параметрит
парамиксовирусы: парамиксовирусы
паранагуа: паранагуа
паранормальный: паранормальный
параплегия: параплегия
паратиреоидный: паратиреоидный
парафированный: парафированный
параша: параша
парашка: парашка
парикмахерский: парикмахерский
парниковый: парниковый
паровозник: паровозник
паровозовагоноремонтный: паровозовагоноремонтный
пародийный: пародийный
парообразовательный: парообразовательный
партеногенез: партеногенез
партикулярный: партикулярный
парторганизация: парторганизация
паршививший: паршививший
пасевки: пасевки
паспорт: паспорт
паспортизованный: паспортизованный
пастораль: пастораль
пастушество: пастушество
пасующийся: пасующийся
патерностер: патерностер
патология: патология
патологоанатомический: патологоанатомический
патриархальный: патриархальный
патрицианка: патрицианка
патронимический: патронимический
патронник: патронник
паузивший: паузивший
паузить: паузить
пахавший: пахавший
пацифистка: пацифистка
пачканный: пачканный
пачкающийся: пачкающийся
паша: паша
пашкин: пашкин
паясничать: паясничать
певающий: певающий
певец: певец
педагог: педагог
педантствующий: педантствующий
педология: педология
педпрактика: педпрактика
пеленавший: пеленавший
пеленавшийся: пеленавшийся
пеленгующий: пеленгующий
пенаты: пенаты
пенечек: пенечек
пенитенциарный: пенитенциарный
пенобетон: пенобетон
пенолог: пенолог
пеночка: пеночка
пептизация: пептизация
первичнотрахейные: первичнотрахейные
первородный: первородный
первородящая: первородящая
первушин: первушин
пергаментный: пергаментный
переаттестовывающий: переаттестовывающий
переаттестовывающийся: переаттестовывающийся
перебазировать: перебазировать
перебаллотировать: перебаллотировать
перебаловать: перебаловать
перебалтывающий: перебалтывающий
перебегаемый: перебегаемый
перебеливаемый: перебеливаемый
перебеливание: перебеливание
перебирать: перебирать
переболтавшийся: переболтавшийся
переболтать: переболтать
переборанивать: переборанивать
переборщить: переборщить
перебривавший: перебривавший
перебривший: перебривший
перебросать: перебросать
перевалять: перевалять
перевевавший: перевевавший
перевивавший: перевивавший
перевинченный: перевинченный
переводиться: переводиться
переволочивший: переволочивший
перевоплощенный: перевоплощенный
переворачивавшийся: переворачивавшийся
перевоспитывавшийся: перевоспитывавшийся
перевьючивавший: перевьючивавший
перевьючивание: перевьючивание
перевязь: перевязь
перегибаемый: перегибаемый
перегибающийся: перегибающийся
перегородить: перегородить
перегребать: перегребать
перегрунтовывавший: перегрунтовывавший
перегруппировавший: перегруппировавший
перегулять: перегулять
передавленный: передавленный
передвигающий: передвигающий
передвижничество: передвижничество
передвоить: передвоить
переделявший: переделявший
передержать: передержать
переднеазиатский: переднеазиатский
переднеязычный: переднеязычный
передувать: передувать
передумывавший: передумывавший
перееденный: перееденный
пережевываться: пережевываться
пережегший: пережегший
пережениться: пережениться
переживший: переживший
перезагружаемый: перезагружаемый
перезагрузивший: перезагрузивший
перезаписавшийся: перезаписавшийся
перезапускающийся: перезапускающийся
перезаряжавший: перезаряжавший
перезванивающийся: перезванивающийся
перезол: перезол
перезолачивать: перезолачивать
перезревавший: перезревавший
переизбиравший: переизбиравший
переименовывающийся: переименовывающийся
переимчивый: переимчивый
переиначиваться: переиначиваться
переиначивший: переиначивший
переиспытанный: переиспытанный
перекаливавшийся: перекаливавшийся
перекантовывавший: перекантовывавший
перекапчивавшийся: перекапчивавшийся
перекатанный: перекатанный
перекатившийся: перекатившийся
перекаченный: перекаченный
перекваситься: перекваситься
переквашивать: переквашивать
перекидать: перекидать
перекидывающийся: перекидывающийся
перекипавший: перекипавший
перекипевший: перекипевший
перекисный: перекисный
перекликающий: перекликающий
перековырять: перековырять
перекомпоновка: перекомпоновка
переконструировавший: переконструировавший
перекопать: перекопать
перекоробившийся: перекоробившийся
перекраденный: перекраденный
перекрестноопыляющийся: перекрестноопыляющийся
перекривленный: перекривленный
перекривлявший: перекривлявший
перекрикивание: перекрикивание
перекрывший: перекрывший
перекувырнутый: перекувырнутый
перекувырнуть: перекувырнуть
перекутываемый: перекутываемый
перелаживавший: перелаживавший
перелатаный: перелатаный
перелаять: перелаять
перелизавший: перелизавший
перелистывание: перелистывание
переложившийся: переложившийся
переманивание: переманивание
переманивающий: переманивающий
перемасливающий: перемасливающий
перемахнувшийся: перемахнувшийся
перемеряющий: перемеряющий
переметнутый: переметнутый
перемешавший: перемешавший
перемешенный: перемешенный
переминающийся: переминающийся
перемножавший: перемножавший
перемолвиться: перемолвиться
перемуравливавший: перемуравливавший
перемучиваемый: перемучиваемый
перемучивать: перемучивать
перемывавший: перемывавший
перемывавшийся: перемывавшийся
перемытый: перемытый
перемычный: перемычный
перемятый: перемятый
переназначать: переназначать
перенапрягаемый: перенапрягаемый
перенапрягаться: перенапрягаться
перенаселить: перенаселить
перенацеливаемый: перенацеливаемый
перенизываемый: перенизываемый
переносивший: переносивший
перенять: перенять
переоборудуемый: переоборудуемый
переобремененный: переобремененный
переобувание: переобувание
переобутый: переобутый
переобучавшийся: переобучавшийся
переогранить: переогранить
переодеть: переодеть
переодеться: переодеться
переопределявшийся: переопределявшийся
переорганизовывать: переорганизовывать
переосмысливавший: переосмысливавший
переосмысливать: переосмысливать
переосмыслявший: переосмыслявший
переоснащающий: переоснащающий
переоформившийся: переоформившийся
переохлаждающийся: переохлаждающийся
перепаиваемый: перепаиваемый
перепархивающий: перепархивающий
перепеваемый: перепеваемый
перепиленный: перепиленный
перепирать: перепирать
перепихнувшийся: перепихнувшийся
переплавляться: переплавляться
переплавляющий: переплавляющий
перепластывающий: перепластывающий
переплескивать: переплескивать
переплеснутый: переплеснутый
переплет: переплет
переплетчица: переплетчица
переплюнутый: переплюнутый
переподготовлявшийся: переподготовлявшийся
переподготовлять: переподготовлять
переполниться: переполниться
переполошиться: переполошиться
перепоручающийся: перепоручающийся
переправляемый: переправляемый
переправляться: переправляться
перепроверяющий: перепроверяющий
перепродать: перепродать
перепрыгнувший: перепрыгнувший
перепрыснуть: перепрыснуть
перепрягающий: перепрягающий
перепрягшийся: перепрягшийся
перепуганный: перепуганный
перепускание: перепускание
